epoch,optimizer_steps,learning_rate,train_loss,val_loss,val_dice_lv,val_dice_myo,val_dice_la,val_mean_dice,epoch_seconds
11,2200,0.001,0.28827826254069805,0.2993412297964096,0.9112012386322021,0.8215190172195435,0.8726075291633606,0.8684425950050354,25.788423439000326
12,2400,0.001,0.2816931268572807,0.2872713702917099,0.9157631993293762,0.8266420364379883,0.8783942461013794,0.8735998272895813,25.651278820994776
13,2600,0.001,0.26810094006359575,0.2876734304428101,0.910049319267273,0.8326267004013062,0.8800786137580872,0.8742515444755554,25.70054417999927
14,2800,0.001,0.254126815199852,0.2772411692142487,0.9197351336479187,0.8356654047966003,0.8793439269065857,0.8782481551170349,25.378728178999154
15,3000,0.001,0.25135296225547793,0.28057854652404784,0.9177552461624146,0.8373937606811523,0.8741618394851685,0.8764369487762451,24.481907086999854
16,3200,0.001,0.2401092828065157,0.3085789102315903,0.9138747453689575,0.8281009197235107,0.8589146733283997,0.8669634461402893,24.336852705004276
17,3400,0.001,0.23174198321998118,0.2707891947031021,0.9246813654899597,0.8413447141647339,0.8874040246009827,0.8844766616821289,24.23604214900115
18,3600,0.001,0.2265001805871725,0.2821059453487396,0.919001042842865,0.8389889597892761,0.8732655644416809,0.8770852088928223,24.18237762899662
19,3800,0.001,0.22221502900123596,0.2697400963306427,0.9232521653175354,0.8358412981033325,0.8842797875404358,0.8811244368553162,24.04431314500107
20,4000,0.001,0.20955491065979004,0.26513796150684354,0.9248930215835571,0.8385950326919556,0.8936091661453247,0.8856990933418274,23.76345442800084
21,4200,0.001,0.19883786410093307,0.2730562609434128,0.9222644567489624,0.8405535221099854,0.877528965473175,0.8801156878471375,24.622654947997944
22,4400,0.001,0.19538984172046184,0.26499143421649934,0.9260146617889404,0.8430182337760925,0.884227991104126,0.8844203352928162,23.986589245003415
23,4600,0.001,0.18629513196647168,0.262537824511528,0.9257879257202148,0.84035724401474,0.8948763012886047,0.8870071768760681,23.73818343399762
24,4800,0.001,0.18349433921277522,0.26700484454631807,0.924180269241333,0.8458317518234253,0.8870965242385864,0.8857028484344482,23.922058766998816
25,5000,0.001,0.1723248517513275,0.2798737245798111,0.9196694493293762,0.8407250046730042,0.8837740421295166,0.8813894391059875,23.72478785199928
26,5200,0.001,0.17405507668852807,0.29143425345420837,0.9202895164489746,0.8401224613189697,0.8792133331298828,0.879875123500824,23.559935741999652
27,5400,0.001,0.1630592780560255,0.2796887081861496,0.9253672361373901,0.8416112065315247,0.883655309677124,0.8835446238517761,23.64548377799656
28,5600,0.001,0.16096653655171395,0.2823635697364807,0.9223958253860474,0.8425279259681702,0.8818345665931702,0.8822527527809143,23.80036667400418
29,5800,0.001,0.14406127624213697,0.28336889266967774,0.9248241186141968,0.8416920304298401,0.8850089907646179,0.8838417530059814,23.754122667000047
30,6000,0.001,0.14069641508162023,0.29132866322994233,0.9208211302757263,0.8385943174362183,0.8796104788780212,0.8796753287315369,23.70613904399943
31,6200,0.001,0.13290929704904555,0.29461697101593015,0.9215184450149536,0.8447949290275574,0.8816242814064026,0.882645845413208,23.743555681001453
32,6400,0.001,0.12885019168257714,0.310404012799263,0.9239230751991272,0.8431819081306458,0.8730112910270691,0.8800387382507324,24.028959463998035
33,6600,0.001,0.1337150550633669,0.33555582821369173,0.913295567035675,0.8267232179641724,0.8615608811378479,0.8671932220458984,23.758778313997027
34,6800,0.001,0.13169245894998313,0.29724490106105805,0.9227637052536011,0.8407324552536011,0.8817662000656128,0.8817541003227234,23.82683261999773
35,7000,0.001,0.11243107844144105,0.30339294493198393,0.9214516282081604,0.8454574346542358,0.8767185807228088,0.8812091946601868,23.890768678000313
36,7200,0.001,0.1064855357259512,0.3237150424718857,0.9209070205688477,0.841714084148407,0.8759351968765259,0.8795188069343567,24.078464020996762
37,7400,0.001,0.1015270633995533,0.3331024539470673,0.9202811121940613,0.8383018374443054,0.878058135509491,0.8788803219795227,23.8148098199963
38,7600,0.001,0.0949727688729763,0.34234320998191836,0.9226251840591431,0.8400576114654541,0.871271014213562,0.8779845833778381,24.097813259002578
39,7800,0.001,0.09145714044570923,0.3475437194108963,0.9228553771972656,0.8369449377059937,0.872464656829834,0.8774216771125793,23.945885117995203
40,8000,0.001,0.08735177423804999,0.3415485066175461,0.9210585355758667,0.8388577699661255,0.8723477721214294,0.8774213790893555,23.772485893998237
41,8200,0.001,0.09268428824841976,0.34654480040073393,0.9187398552894592,0.8302839398384094,0.8710837364196777,0.8733692169189453,23.784240947003127
42,8400,0.001,0.10869383651763201,0.32086963057518003,0.9230390191078186,0.8420594334602356,0.8740389943122864,0.8797125220298767,23.63659658600227
43,8600,0.001,0.08169817309826613,0.343164199590683,0.9242072105407715,0.8406299948692322,0.8818108439445496,0.8822160363197327,23.735353250005573
44,8800,0.001,0.07255529467016458,0.36355709075927733,0.9237766265869141,0.8397612571716309,0.880664587020874,0.8814008235931396,23.74675589799881
45,9000,0.001,0.06852952141314744,0.3806558138132095,0.9210017323493958,0.837624192237854,0.8767492771148682,0.8784584403038025,23.828591478995804
46,9200,0.001,0.06869024464860558,0.3647212666273117,0.9227146506309509,0.8388242125511169,0.8788469433784485,0.8801286220550537,23.704923976001737
47,9400,0.001,0.06573010688647628,0.3830002522468567,0.9208598136901855,0.8355673551559448,0.873997688293457,0.8768083453178406,23.566775175997464
48,9600,0.001,0.06370770934969187,0.3910888057947159,0.9219447374343872,0.8391403555870056,0.8795077204704285,0.8801975846290588,23.905490536999423
49,9800,0.001,0.06252027288079262,0.38610141634941103,0.9212096929550171,0.8340073227882385,0.8745781779289246,0.8765984177589417,23.85096279100253
50,10000,0.001,0.06158434215933085,0.41686188578605654,0.9216336011886597,0.8363170623779297,0.8731745481491089,0.877041757106781,24.01167220199568
